surahNo,nameAR,nameDV,nameEN,ayahCount,basmalah
85,البُرُوج,ބުރޫޖު,Buruj,22,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
86,الطَّارِق,ޠާރިޤް,Tariq,17,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
87,الأَعلَىٰ,އައުލާ,A'la,19,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
88,الغَاشِيَة,ޣާޝިޔާ,Ghashiyah,26,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
89,الفَجر,ފަޖްރު,Fajr,30,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
90,البَلَد,ބަލަދު,Balad,20,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
91,الشَّمس,ޝަމްސް,Shams,15,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
92,اللَّيل,ލައިލް,Layl,21,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
93,الضُّحَىٰ,ޟުޙާ,Duha,11,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
94,الشَّرح,ޝަރްޙު,Sharh,8,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
95,التِّين,ތީން,Tin,8,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
96,العَلَق,އަލަޤް,Alaq,19,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
97,القَدر,ޤަދްރު,Qadr,5,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
98,البَيِّنَة,ބައްޔިނާ,Bayyinah,8,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
99,الزَّلزَلَة,ޒަލްޒަލާ,Zalzalah,8,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
100,العَادِيَات,އާދިޔާތު,Adiyat,11,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
101,القَارِعَة,ޤާރިއާ,Qari'ah,11,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
102,التَّكَاثُر,ތަކާޘުރު,Takathur,8,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
103,العَصر,އަޞްރު,Asr,3,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
104,الهُمَزَة,ހުމަޒާ,Humazah,9,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
105,الفِيل,ފީލް,Feel,5,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
106,قُرَيش,ޤުރައިޝް,Quraysh,4,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
107,المَاعُون,މާއޫން,Ma'un,7,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
108,الكَوثَر,ކައުޘަރު,Kawthar,3,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
109,الكَافِرُون,ކާފިރޫން,Kafirun,6,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
110,النَّصر,ނަޞްރު,Nasr,3,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
111,المَسَد,މަސަދު,Masad,5,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
112,الإِخلَاص,އިޚްލާޞް,Ikhlas,4,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
113,الفَلَق,ފަލަޤް,Falaq,5,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
114,النَّاس,ނާސް,Nas,6,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
