bodyAR,bodyDV
فالواجب على ولاة الأمور وأهل الحسبة وغيرهم ممن لهم قدرة وسلطان: إنكار إتيان الكهان والعرافين ونحوهم، ومنع من يتعاطى شيئاً من ذلك في الأسواق وغيرها والإنكار عليهم أشد الإنكار، والإنكار على من يجيء إليهم.,ފަހެ ވެރިންނާއި، ޙިސްބާގެ އަހުލުވެރިން (އަމްރު މަޢުރޫފު ހިންގާ މީހުން) އަދި އެނޫންވެސް ކުޅަދާނަކަމާއި ބާރު ލިބިގެންވާ މީހުންގެ މައްޗަށް ވާޖިބުވެގެންވަނީ: ކާހިނުންނާއި ފާލުބަލާ މީހުންނާއި އެފަދަ މީހުންގެ ގާތަށް މީހުން ދިޔުމަށް އިންކާރުކޮށް، އަދި ބާޒާރުތަކާއި އެހެން ތަންތާގައިވެސް އެއިން ކަމެއް ކުރާ މީހެއް މަނާކޮށް ހުއްޓުވާ، އަދި އެންމެ ގަދައަށް އެމީހުންނަށް އިންކާރުކޮށް، އަދި އެމީހުންގެ ގާތަށް ދާ މީހުންނަށްވެސް އިންކާރު ކުރުމެވެ.
وهكذا السحر: فإنه من المحرمات الكفرية؛ كما قال الله عز وجل في شأن الملكين:,އަދި ސިޙުރުވެސް ވަނީ މިފަދައިންނެވެ. އެހެނީ ސިޙުރަކީ ކާފަރުވާ ޙަރާމް ކަންތަކުގެ ތެރެއިންވާ ކަމެކެވެ. ދެ މަލާއިކަތުންނާއި ބެހޭގޮތުން ﷲ ޢައްޒަ ވަޖައްލަ ވަޙީކުރެއްވި ފަދައިންނެވެ:
﴿...وَمَا يُعَلِّمَانِ مِنۡ أَحَدٍ حَتَّىٰ يَقُولَآ إِنَّمَا نَحۡنُ فِتۡنَةٞ فَلَا تَكۡفُرۡۖ فَيَتَعَلَّمُونَ مِنۡهُمَا مَا يُفَرِّقُونَ بِهِۦ بَيۡنَ ٱلۡمَرۡءِ وَزَوۡجِهِۦۚ وَمَا هُم بِضَآرِّينَ بِهِۦ مِنۡ أَحَدٍ إِلَّا بِإِذۡنِ ٱللَّهِۚ وَيَتَعَلَّمُونَ مَا يَضُرُّهُمۡ وَلَا يَنفَعُهُمۡۚ وَلَقَدۡ عَلِمُواْ لَمَنِ ٱشۡتَرَىٰهُ مَا لَهُۥ فِي ٱلۡأٓخِرَةِ مِنۡ خَلَٰقٖۚ وَلَبِئۡسَ مَا شَرَوۡاْ بِهِۦٓ أَنفُسَهُمۡۚ لَوۡ كَانُواْ يَعۡلَمُونَ﴾,(...ތިމަންމެން ވާކަން ކަށަވަރީ (އީމާންކަން ހުރި މިންވަރެއް ބެއްލެވުމުގެ ގޮތުން މެދުވެރި ކުރައްވާފައިވާ އިމްތިޙާނެއް) ފިތުނައެއް ކަމުގައޭ، ފަހެ (ސިހުރު ދަސްކޮށްގެން) ކާފަރު ނުވާށޭ ވިދާޅުވެފައި (ނަސޭހަތް ދެއްވުމަށް ފަހުގައި) މެނުވީ އެއްވެސް މީހަކަށް އެ ދެ މަލާއިކަތުން (ސިހުރު) އުނގަންނަވައި ނުދެއްވައެވެ. ފަހެ އެ ދެ ބޭކަލުންގެ އަރިހުން އެބައިމީހުން އުނގެނި އުޅުނީ (ސިހުރު ބޭނުންކޮށްގެން) މީހަކާއި އެމީހެއްގެ އަނބިމީހާއާ ދެމެދު (ރުޅިވެރިކަން އުފައްދާ) ދުރުކުރުވާނޭ ގޮތެވެ. ﷲގެ އިޒުނަފުޅާ އެކުގައި މެނުވީ އެބައިމީހުންނަށް އެއްވެސް މީހަކަށް އެއިން ގެއްލުމެއް ނުދެވޭނެއެވެ. އެބައިމީހުން އެ އުނގެނެނީ އެބައިމީހުންނަށް ގެއްލުންދޭ އަދި އެބައިމީހުންނަށް މަންފާއެއް ނުކުރާ ކަންތަކެވެ. އަދި އެ ހޯދައިގަތް މީހަކަށް އާޚިރަތުގައި އެއްވެސް މިންވަރެއް ނެތްކަން، އެބައިމީހުންނަށް ކަށަވަރުކޮށް އެނގިފައި ވެއެވެ. އަދި ހަމަކަށަވަރުން އެބައިމީހުންގެ ނަފުސުތައް އެ އެއްޗަކަށް ވިއްކައިލި އެއްޗެއްގެ ނުބައިކަމުގެ ބޮޑުކަމާއެވެ! އެބައިމީހުން އެކަން ދަންނަ ކަމުގައިވި ނަމައެވެ.)
[البقرة: 102].,[އަލްބަޤަރާ: 102]
فدلت هذه الآيات الكريمة على أن السحر كفر وأن السحرة يفرقون بين المرء وزوجه. كما دلت على أن السحر ليس بمؤثر لذاته نفعًا ولا ضرًا، وإنما يؤثر بإذن الله الكوني القدري؛ لأن الله سبحانه وتعالى هو الذي خلق الخير والشر.,މި މާތްވެގެންވާ އާޔަތްތަކުން ދަލީލުކުރީ: ސިޙުރަކީ ކުފުރެއްކަމަށެވެ. އަދި ސިޙުރުވެރިންނަކީ މީހާއާ އޭނާގެ އަނބިމީހާ ވަކިކުރާ ބައެއް ކަމުގައިއެވެ. ހަމައެފަދައިން، ސިޙުރަކީ އޭގެ ޒާތުގައި ފައިދާއެއް އަދި ގެއްލުމަކުންވެސް އަސަރުކުރުވާ އެއްޗެއް ނޫންކަމާއި، އެއިން އަސަރުކުރަނީ ﷲ ގެ ކައުނީ ޤަދަރުގެ އިޛްނަފުޅުންކަމުގައި ކަން ދަލީލުކުރިއެވެ. އެހެނީ ހެވާއި ނުބައި އުފެއްދެވި ފަރާތަކީ ﷲ ސުބްޙާނަހޫ ވަތަޢާލާއެވެ.
كما دلت الآية الكريمة: على أن الذين يتعلمون السحر إنما يتعلمون ما يضرهم ولا ينفعهم، وأنه ليس لهم عند الله من خلاق، أي: (من حظ ونصيب)، وهذا وعيد عظيم يدل على شدة خسارتهم في الدنيا والآخرة، وأنهم باعوا أنفسهم بأبخس الأثمان، ولهذا ذمهم الله سبحانه وتعالى على ذلك بقوله:,އޭގެ އިތުރުން މި މާތް އާޔަތުން ދަލީލުކުރީ: ސިޙުރު އުނގެނި ދަސްކުރާ މީހުން އެ އުނގެނޭކަން ކަށަވަރީ އެމިހުންނަށް ފައިދާއެއް ނުކުރާ އެކަމަކު ގެއްލުންލިބޭ އެއްޗެއް ކަމުގައިއެވެ. އަދި ﷲ ގެ ޙަޟްރަތުގައި އެމީހުންނަށް އެއްވެސް ނަޞީބެއް ނުވާކަމެވެ. މިއީ ދުނިޔެއާއި އާޚިރަތުގައި އެމީހުން ގެއްލެނިވުން ބޮޑުވެގެންވާކަމަށާއި، އަދި އެންމެ އަގުދެރަ އެއްޗަކަށް އެމީހުންގެ ނަފްސުތައް ވިއްކާލިކަމަށް ދަލީލުކުރާ ވަރުގަދަ ވަޢީދުގެ ބަސްފުޅެކެވެ. މިހެންވެ ﷲ ސުބްޙާނަހޫ ވަތަޢާލާ އެކަމުގެ މައްޗަށް އެމީހުން ނުބައިކުރައްވާ ބަސްވަޙީކުރެއްވިއެވެ:
﴿...وَلَبِئۡسَ مَا شَرَوۡاْ بِهِۦٓ أَنفُسَهُمۡۚ لَوۡ كَانُواْ يَعۡلَمُونَ﴾,(...އަދި ހަމަކަށަވަރުން އެބައިމީހުންގެ ނަފްސުތައް އެ އެއްޗަކަށް ވިއްކައިލި އެއްޗެއްގެ ނުބައިކަމުގެ ބޮޑުކަމާއެވެ! އެބައިމީހުން އެކަން ދަންނަ ކަމުގައިވި ނަމައެވެ.)
[البقرة: 102]،,[އަލްބަޤަރާ: 102]
والشراء هنا بمعنى البيع.,މި ތަނުގައި الشراء ގެ މާނައަކީ ވިއްކާލުމެވެ.
ولقد عظم الضرر، واشتد الخطب بهؤلاء المفترين الذين ورثوا هذه العلوم عن المشركين، ولبسوا بها على ضعفاء العقول، فإنا لله وإنا إليه راجعون، وحسبنا الله ونعم الوكيل .,މުޝްރިކުންގެ ކިބައިން މިހިރަ ޢިލްމުތައް ވާރުތަކޮށް، ބުއްދި ބަލިކަށި މީހުންނަށް އެއިން އޮޅުވާލި މިތިބަ ބުހުތާނުވެރިންނާހުރެ ގެއްލުން ބޮޑުވެ، ކަންކަންވަނީ ބޮއްސުން ލާފައިއެވެ. إنا لله وإنا إليه راجعون، وحسبنا الله ونعم الوكيل (އަޅަމެންވަނީ ﷲ އަށެވެ. އަދި އަޅަމެން އެނބުރި ދާހުށީ އެކަލާނގެ ޙަޟްރަތަށެވެ. އަދި ﷲ އަޅަމެންނަށް ފުދެއެވެ. ވަކީލަކުކަމުގައި އެކަލާނގެ ހެޔޮކަމާއެވެ.)
