bodyAR,bodyDV
وقد جاء الوعيد الشديد في حق من بخل بها أو قصر في إخراجها، قال الله تعالى:,އަދި އެއާމެދު ދަހިވެތިވެ، ނުވަތަ އެ ނެރުމުގައި ފަރުވާކުޑަކޮށްފި މީހެއްގެ ޙައްޤުގައި ގަދަފަދަ ވަޢީދު އައިސްފައިވެއެވެ. ﷲ ތަޢާލާ ވަޙީކުރެއްވިއެވެ:
﴿...وَٱلَّذِينَ يَكۡنِزُونَ ٱلذَّهَبَ وَٱلۡفِضَّةَ وَلَا يُنفِقُونَهَا فِي سَبِيلِ ٱللَّهِ فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٖ 34,"﴿...وَٱلَّذِينَ يَكۡنِزُونَ ٱلذَّهَبَ وَٱلۡفِضَّةَ وَلَا يُنفِقُونَهَا فِي سَبِيلِ ٱللَّهِ فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٖ.
 މާނައީ: ""...އަދި ރަނާއި ރިހި ޚަޒާނާ ކޮށް، ﷲ ގެ މަގުގައި އެ ތަކެތި ހޭދަނުކޮށް ތިބޭ މީހުން (ދަންނާށެވެ.) ފަހެ ވޭންދެނިވި ޢަޛާބު ހުރިކަމުގެ ޚަބަރު، އެ މީހުންނަށް ކަލޭގެފާނު ދެއްވާށެވެ."""
يَوۡمَ يُحۡمَىٰ عَلَيۡهَا فِي نَارِ جَهَنَّمَ فَتُكۡوَىٰ بِهَا جِبَاهُهُمۡ وَجُنُوبُهُمۡ وَظُهُورُهُمۡۖ هَٰذَا مَا كَنَزۡتُمۡ لِأَنفُسِكُمۡ فَذُوقُواْ مَا كُنتُمۡ تَكۡنِزُونَ35﴾,"يَوۡمَ يُحۡمَىٰ عَلَيۡهَا فِي نَارِ جَهَنَّمَ فَتُكۡوَىٰ بِهَا جِبَاهُهُمۡ وَجُنُوبُهُمۡ وَظُهُورُهُمۡۖ هَٰذَا مَا كَنَزۡتُمۡ لِأَنفُسِكُمۡ فَذُوقُواْ مَا كُنتُمۡ تَكۡنِزُونَ﴾
 މާނައީ: ""ނަރަކައިގެ އަލިފާނުގައި އެތަކެތި ހޫނުކުރައްވާ ދުވަހުއެވެ. ފަހެ، އެތަކެތިން އެބައިމީހުންގެ ނިތްކުރިތަކާއި، އަރިމަތިތަކާއި، ބުރިކަށިތަކުގައި ދަގަނޑުޖައްސަވާނެތެވެ. (އަދި އެބައިމީހުންނަށް އަންގަވާނެތެވެ.) މިއީ، ތިޔަބައިމީހުންގެ އަމިއްލަ ނަފްސުތަކަށްޓަކައި، ތިޔަބައިމީހުން ކަންޒުކުޅަ ތަކެއްޗެވެ. ފަހެ، ތިޔަބައިމީހުން ކަންޒުކޮށް އުޅުނު ތަކެތީގެ ރަހަ ލިބިގަންނާށެވެ."""
[التوبة: 34 - 35]،,[އައް-ތައުބާ: 34 - 35]،
فكل مال لا تؤدَّى زكاتُه فهو كنز يعذب به صاحبه يوم القيامة، كما دلّ على ذلك الحديث الصحيح عن النبي ﷺ أنه قال:,ފަހެ އެ މުދަލަކުން ޒަކާތް އަދާނުކުރެވޭ ކޮންމެ މުދަލަކީ، ޤިޔާމަތްދުވަހު އޭގެ ވެރިމީހާއަށް އެއިން ޢަޛާބު ދެވޭނެ ކަންޒެކެވެ. އެއީ ނަބީ ﷺ ޙަދީޘްކުރެއްވިކަމަށް ޞައްޙަ ޙަދީޘުން އެކަމަށް ދަލީލުކުރި ފަދައިންނެވެ:
«مَا مِنْ صَاحِبِ ذَهَبٍ وَلَا فِضَّةٍ لَا يُؤَدِّي حَقَّهَا إِلَّا إِذَا كَانَ يَوْمُ القِيَامَةِ صُفِّحَتْ لَهُ صَفَائِحُ مِنْ نَارٍ؛ فَأُحْمِيَ عَلَيْهَا فِي نَارِ جَهَنَّمَ، فَيُكْوَى بِهَا جَنْبُهُ وَجَبِينُهُ وَظَهْرُهُ كُلَّمَا بَرَدَتْ أُعِيدَتْ لَهُ فِي يَوْمٍ كَانَ مِقْدَارُهُ خَمْسِينَ أَلْفَ سَنَةٍ حَتَّى يُقْضَى بَيْنَ العِبَادِ، فَيُرَى سَبِيلَهُ: إِمَّا إِلَى الجَنَّةِ، وَإِمَّا إِلَى النَّارِ»[3].,«ރަނާއި ރިހީގެ ވެރިޔަކު އޭގެ ޙައްޤު އަދާނުކޮށް ވާނަމަ، ޤިޔާމަތްދުވަހު އެތަކެތި އަލިފާނުންވާ ޝީޓުތަކެއްގެ ގޮތުގައި އޭނާއަށްޓަކައި ލެއްވިގެންވާ ޙާލު މެނުވީ ނުވެއެވެ. ދެން ޖަހަންނަމައިގެ އަލިފާނުގައި އެތަކެތި ހޫނުކުރެވި، އެއިން އޭނާގެ އަރިކަށްޓާއި، ނިތްކުރިއާއި، ބުރަކަށީގައި ދޮންދަގަނޑު ޖެއްސެވޭނެއެވެ. އެތަކެތި ހިހޫވާ ކޮންމެ ފަހަރަކު އޭނާއަށްޓަކައި (އެގޮތަށް ޢަޛާބު) ތަކުރާރު ކުރެވޭނެއެވެ. އެ ދުވަހުގެ ދިގުމިން ފަންސާސް ހާސް އަހަރު ކަމުގައިވާ ދުވަހެއްގައި، އަޅުތަކުންގެ މެދުގައި ޙުކުމް ނިޔާކަނޑައެޅިއްޖައުމަށް ދާންދެނެވެ. ދެން، އެއަށްފަހު އޭނާގެ މަގު އޭނާއަށް ދެއްކެވޭނެއެވެ. ޖަންނަތަށް ނުވަތަ ނަރަކައަށެވެ» [3].
[3] أخرجه مسلم، برقم (987).,[3] މި ޙަދީޘް ނެރުއްވީ މުސްލިމް، ނަމްބަރު (987) ގައެވެ.
ثم ذكر النبي ﷺ صاحب الإبل والبقر والغنم الذي لا يؤدي زكاتها، وأخبر أنه يعذب بها يوم القيامة.,ދެން ނަބީ ﷺ، ޖަމަލާއި ގެރިއާއި ބަކަރީގެ ޒަކާތް އަދާނުކުރާ މީހާ ޛިކުރުކުރައްވައި، ޤިޔާމަތްދުވަހު އޭނާއަށް އެ ތަކެތިން ޢަޛާބު ދެވޭނެކަމަށް ޚަބަރުދެއްވިއެވެ.
وصح عن رسول الله ﷺ أنه قال:,އަދި ﷲ ގެ ރަސޫލު ﷺ ޙަދީޘްކުރެއްވިކަމަށް އެކަލޭގެފާނުގެ އަރިހުން ޞައްޙަވެގެންވެއެވެ:
«مَنْ آتَاهُ اللهُ مَالًا فَلَمْ يُؤَدِّ زَكَاتَهُ مُثِّلَ لَهُ شُجَاعًا أَقْرَعَ لَهُ زَبِيبَتَانِ يُطَوِّقُهُ يَوْمَ القِيَامَةِ، ثُمَّ يَأْخُذُ بِلَهْزِمَتَيْهِ (يَعْنِي شِدْقَيْهِ)، ثُمَّ يَقُولُ: أَنَا مَالُكَ، أَنَا كَنْزُكَ»، ثُمَّ تَلَا النَّبِيُّ ﷺ قَوْلَهُ تَعَالَى: ﴿وَلَا يَحۡسَبَنَّ ٱلَّذِينَ يَبۡخَلُونَ بِمَآ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضۡلِهِۦ هُوَ خَيۡرٗا لَّهُمۖ بَلۡ هُوَ شَرّٞ لَّهُمۡۖ سَيُطَوَّقُونَ مَا بَخِلُواْ بِهِۦ يَوۡمَ ٱلۡقِيَٰمَةِۗ...﴾,"«ﷲ އެ މީހަކަށް މުދާ ދެއްވުމުން، އޭނާ އެ މުދަލުގެ ޒަކާތް އަދާނުކޮށްފިނަމަ، އޭނާގެ އެ މުދާ ވިހަގަދަ ތަލަ ހަރުފައެއްގެ ސިފައަށް ބަދަލުކުރެވޭނެއެވެ. އޭގެ ދެލޮލުގެ މަތީގައި ކަޅުކުލައިގެ ދެ ތިކި ލާފައިވެއެވެ. ޤިޔާމަތް ދުވަހު އެ ހަރުފަ އޭނާގެ ކަރުގައި ވަށާލާނެއެވެ. ދެން އޭނާގެ ދެ ކަތުރުކަށިގަނޑުގައި (އެބަހީ: އަނގައިގެ ދެ ފަރާތުގައި) ހިފައި، ބުނާނެއެވެ: 'ތިމަންނައީ ތިބާގެ މުދަލެވެ. ތިމަންނައީ ތިބާގެ ކަންޒެވެ.'» ދެން، ނަބީ ﷺ، ﷲގެ ވަޙީބަސްފުޅު ކިޔަވައިވިދާޅުވިއެވެ:
 ﴿وَلَا يَحۡسَبَنَّ ٱلَّذِينَ يَبۡخَلُونَ بِمَآ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضۡلِهِۦ هُوَ خَيۡرٗا لَّهُمۖ بَلۡ هُوَ شَرّٞ لَّهُمۡۖ سَيُطَوَّقُونَ مَا بَخِلُواْ بِهِۦ يَوۡمَ ٱلۡقِيَٰمَةِۗ...﴾
 މާނައީ: ""ﷲ، އެއިލާހުގެ ފަޟްލުވަންތަކަމުގެ ތެރެއިން އެބައިމީހުންނަށް ދެއްވި ތަކެއްޗާމެދު، ދަހިވެތިވާ މީހުން (ދަންނައެވެ!) އެކަން އެއީ އެބައިމީހުންނަށް ހުރި ހެވެއްކަމުގައި ހީނުކުރާހުށިކަމެވެ! ކިއެއް ހެއްޔެވެ! އެއީ އެބައިމީހުންނަށް ހުރި ނުބައިކަމެކެވެ. އެބައިމީހުން ދަހިވެތިވި ތަކެތި، ޤިޔާމަތް ދުވަހު އެބައިމީހުންގެ ކަރުގައި އޮޅާލެވޭނެތެވެ..."""
