wordAR,wordDV,wordEN,meanAR,meanDV,meanEN
,އެސައިންމަންޓް ބެލުން,View assignment,,,
,އެސައިންމަންޓް ނަން,Assignment name,,,
,ޚިޔާލު/ފާޑު,Comment,,,
,އިންލައިން ކޮމެންޓް,Comment inline,,,
,ފޯރަމުތަކަށް ލެވޭ އެޓޭޗްމެންޓުތަކުގެ ބޮޑު ސައިޒު (ކޯސް މިންތަކާއި އެހެން ލޯކަލް ސެޓިންތަކާއި ގުޅޭ),Default maximum submission file size for all workshops on the site (subject to course limits and other local settings),,,
,ފަހުގެ ހަރަކާތްތަކުގެ ރިޕޯޓުގައި، ސަބްމިޝަންތަކުގެ ނޮޓިފިކޭޝަން އެންމެނަށްވެސް ފެންނާނެ,Everyone can see notifications of submissions in recent activity reports.,,,
,މި ފައިލް ފުހެލަންވީތޯ ޔަޤީން ކޮށްލާ! <br /><strong>{$a}</strong>,This action will delete the cover image. Are you sure you want to delete the saved file?,,,
,ހުރިހާ ސަބްމިޓްތަކެއް ފުހެލާ,Delete all submissions,,,
,ފަހު ތާރީޚް,Due date,,,
,މިހާތަނަށް އެއްވެސް އެއްޗެއް ސަބްމިޓް ކުރެވިފައެއް ނެތް,You have not submitted anything yet,,,
,ފީޑްބެކް,Feedback,,,
,(ގްރޭޑްކުރެވިފަ),Graded,,,
,އެންމެ މަތީ ގްރޭޑް,highest scoring attempt,,,
,އެންމެ މަތިވެވޭނެ ގްރޭޑް,Maximum grade,,,
,އެންމެ ބޮޑު ސައިޒު,Maximum number of attendees,,,
,ސަބްމިޓް ކުރި އެސައިންމަންޓްތައް,H5P submitted,,,
,އެއްވެސް ފައިލެއް ސަބްމިޓް ކުރެވިފައެއް ނެތް,No files,,,
,ޓެގުގެ ނަން,Name,,,
,ތިބާގެ ޕްރައިވެޓް އެނަލިސިސް އާ ނޯޓުތައް,Comments and Feedback,,,
,އަދި ގްރޭޑެއް ނުކުރެ,"Your submission has been received, but has not been graded yet. It might take a few minutes.",,,
,އިންޒާރު: ދެވަނަ ފަހަރަށް އަޕްލޯޑް ކުރުމުން މިހާރު ސަބްމިޓް ކުރެވިފައި އިން އެއްޗެއް ނީންނާނެ,WARNING: Overwrite?,,,
,ރިވިއު,Module reviewed :,,,
,މާކު ކުރަން ފޮނުވުން,Send for marking,,,
,އެންމެ ފަހުން ސަބްމިޓް ކޮށްފައިވާ އެއްޗެހިތައް ދައްކާ,Show recent submissions,,,
,ސަބްމިޝަން,Submission,,,
,މި ދައްކާ ބޭނުންކޮށްގެން އެސައިންމަންޓް ސަބްމިޓް ކުރޭ,Submit assignment,,,
,ސަބްމިޓް ކޮށްފި,Submitted,,,
,ސާވަރުގައި ފައިލް ސޭވްކުރުމުގައި މައްސަލައެއްދިމާވެއްޖެ,Error in uploading Content,,,
,އެސައިންމަންޓްގެ ގްރެޑްތަކާއި ޚިޔާލު ބެލުން,view the feedback directly in Turnitin,,,
,ޕާސްވޯޑު ބޭނުންވޭ,Require password,,,
,މި ކުއިޒަށް މަސައްކަތް ކުރުމަށްޓަކައި ކުއިޒުގެ ޕާސްވޯޑު އެގެން ޖެހޭނެ,To attempt this quiz you need to know the quiz password,,,
,ނަތީޖާ,Result,,,
,ޢަދަދު,Value,,,
,މި ޔޫސަރނނަމަށް ތި ޕާސްވޯޑް ކަމަކުނުދޭ,Incorrect password for this QUESTOURnament,,,
,އިރުޝާދު,You can insert H5P content by <strong>either</strong> entering a URL <strong>or</strong> by uploading an H5P file.,,,
,ބައެއް (ކެޓަގަރީއެއް) އިތުރު ކުރުން,Add category,,,
,ތަޅުލެވިފަ,Unlock signup sheet,,,
,އާދައިގެ ލިޔުން,Plain text,,,
,އެޑްމިން ޔޫސަރަށް ހުރިހާ ކޯސްތަކެއް ފެންނާނެ,All reviewed courses ({$a}),,,
,ކޯހުގެ ޚުލާސާ,Course Summary,,,
,އެޑިޓްކުރާ އައިކަން ބޭނުންކޮށްގެން މި ބޮލޮކް އެޑިޓް ކޮށްލާ,The stealthactivity block is not yet configured. Please consider configuration of this element.,,,
,އަބަދުވެސް,The SDK will always capture the request body as long as Sentry can make sense of it.,,,
,ސުރުޚީ,Title,,,
,ވިންޑޯ ކްލޯޒް ކޮށްލާ,Closes:,,,
,ހަފްތާތައް,weeks,,,
,ހުރިހައި ޔޫސަރުންގެ ހުރިހައި މެސެޖުތައް,All users,,,
,އެއްވެސް ޔޫސަރ އެއް ޚިޔާރުކުރެވިފައެއް ނެތް,No users selected,,,
,ކޯސް,Course,,,
,ޑީފޯލްޓު,"Default to ""{$a}""",,,
,އެކްސްޕޯޓު,Export,,,
,ގުރޫޕު,Group,,,
,މި ޗެޓު ފޮހެލާ,Delete session,,,
,ޤައުމު,Country,,,
,ސާވަރުގެ ޕޯޓު,Server port,,,
,ޗެޓުތައް,Sessions,,,
,އިޚްތިޔާރު,Choice,,,
,ދައްކާ މޯޑު,Display mode,,,
,ބޮޑުކޮށްފައި,Date is fully occupied,,,
,{$a->firstname} {$a->lastname},{$a->firstname} {$a->lastname},,,
,ހޮސްޓުގެ ނަން,Host Name,,,
,މޮޑިއުލް ޔޫސަރ ޑޭޓާ ހިމަނާ,Include module user data,,,
,މެސެޖުކުރުން,Enable messaging system,,,
,ކޯސްތައް,My courses,,,
,އަމަލު,Action,,,
,އިތުރުކުރުމަށް,Add,,,
,ހުއްދަ ދިނުން,Approve,,,
,ކެންސަލް,Cancel,,,
,އަދި އޮންލައިނެއް ނުވޭ,Never,,,
,ޗެކްބޮކްސް,Checkbox,,,
,ކޮލަމްންތައް,Columns,,,
,ޚިޔާލުތައް/ފާޑު ކިޔުންތައް,Comments,,,
,ތާރީޙް,Date,,,
,ފުހެލާ,Delete,,,
,މި ކޮމެންޓް ފުހެލަންވީތޯ ޔަޤީންކޮށްލާ,Deleting comment,,,
,ޑޭޓާބޭސް މޮޑިއުލްގެ މިސާލު,Example submission,,,
,ފައިލު,File,,,
,ވިކީ ސަފުހާ އޮޓޯއިން ގުޅުވުން,Wiki auto-linking,,,
,ހެޑަރ,release vinculation token,,,
,ސައްޙަ ނޫން URL ޕަރާމީޓާ އެއް,Entered URL is invalid,,,
,މަތީގަ ލިޔުން,Replace older template,,,
,ރޭޑިއޯ ފިތް,Radio buttons,,,
,ބޭނުންވާ އެންޓްރީތައް,Required records,,,
,ޑިސްއޭބަލް ކުރެވިފަ. ސައިޓުގެ ކޮންފިގަރޭޝަން ބަލާލަން ބޭނުންނަމަ,Disabled. See site configuration variables.,,,
,ސޭވް,Save,,,
,ޓެމްޕްލޭޓް ސޭވްކުރަން,Save template,,,
,ޓެމްޕްލޭޓްތައް,Templates,,,
,ލިޔުން,Text,,,
,ލިޔާބައި,Textarea,,,
,ސުވާލުގެ ވައްތަރު {$a},Question type,,,
,ފައިލް އަޕްލޯޑުކުރަން,Upload file,,,
,މޫޑުލް ރެޖިސްޓްރޭޝަން,Require registration,,,
,URL,UDS server URL,,,
,ބޭނުންވާނެ,Required,,,
,ޕްރިވިއު,Browse,,,
,{$a} އިން ކޮޕީ ކުރޭ އަދި ލިންކުތައް ބަދަލު ކުރޭ,Copy,,,
,ވެބް ލިންކެއް ލާ,Create link,,,
,އުސްމިން,Height,,,
,ހުރަހަށް,Horizontal,,,
,ވާއަތް,Left,,,
,ސެޓުނުކުރެވި,Not set,,,
,އިޚްތިޔާރުތައް,Options,,,
,ޕްރިވިއު,Preview,,,
,ކަނާއަތް,Right,,,
,ސައިޒު,Size,,,
,އަޕްލޯޑް,Upload & Delete,,,
,ދިގަށް,vertical,,,
,މަތީގައިވާ ތާވަލަށް އައިބަދަލުށް ވަނީ އޮޓޮމެޓިކުން ސޭވްކުރެވިފަ,Changes in table above are saved automatically.,,,
,ރިކުއެސްޓް ކުރިފައިލެއް ނުފެނުނު,"File for submission was not found on Moodle server, it may be corrupt or missing. This Turnitin submission attempt will be deleted.",,,
,ގެސްޓް ޔޫސަރަކަށް ތިކަން ކުރުމުގެ ހުއްދައެއްނެތް,The guest user is not allowed to do this,,,
,{$a} އިނީ ހުސްކޮށް,"Field ""{$a}"" is missing",,,
,މި ކޯހުގައި {$a}އެއްވެސް ވަރަކަށްނެތް,There are no stamp collections in this course,,,
,ސޮރީ، މި ކުއިޒެއް ނެގޭކަށް ނެތް,Not available,,,
,ގޮތްނޭނގޭ ގްރޫޕް، {$a},"Unknown group ""{$a}""",,,
,ޕެކޭޖުތައް ދައްކާ,Display,,,
,"<div style=""color: red;""> ކުއިޒް މޮޑިއުލް އިން ކުއިޒް ޓޭބަލްއަށް ފާހަގަކުރެވޭވަރުގެ ބަދަލުގެންނާނެ. މި ބަދަލުތައް ގެނައުމުގެ ކުރިން ޑޭޓާބޭސް ބެކްއަޕް ކުރަންވާނެ. </div>",<div>In particular the quiz module will perform an extensive change of the quiz tables and this upgrade has not yet been sufficiently tested. You are very strongly urged to backup your database tables before proceeding.</div>,,,
,ރޯލުތައް އެސައިންކުރުން,Assign roles,,,
,ތިބި ޔޫސަރުން: {$a},{$a} existing users,,,
,ހޮސްޓު,Host,,,
,{$a} ވަރަކަށް ޔޫސަރުން,Potential users,,,
,އެސައިން ކުރަންވީ ރޯލު,Role to assign,,,
,ސަބްޖެކްޓު,Change in booking in the course {$a->coursename} ({$a->duedate}),,,
,ގުރޫޕު މެމްބަރުން,Group members,,,
,ގުރޫޕުގެ ނަން,Group name,,,
,ލިބިފަ އިނީ ގަބޫލު ކުރެވޭ ކަހަލަ ނޯޓުއައިޑީއެއް ނޫން,LTI ID was incorrect,,,
,އިންޒާރުގެ ތުރެޝްހޯލްޑު ޕޯސްޓުކުރޭ,Post threshold for warning,,,
,ފަހަތަށް,Go back,,,
,(މި އެންޓުރީ އަކުން އެއްވެސް ކޮމެންޓެއް ނުފެނުނު),There are no comments,,,
,ސެޓިންގތައް,WebEx Meeting settings,,,
,ފީޑްބެކް ދިނުމަށް,It is not possible to display Turnitin feedback automatically.,,,
,ޑެޑްލައިން,Deadline,,,
,ޑީފޯލްޓު ރޯލު,Default role,,,
,އެވެރަޖު,Average,,,
,ސީއެސްވީ,Text (CSV),,,
,ޑްރޮޕްޑައުން މެނު,Dropdown,,,
,އެންކޯޑިންގް,Encoding,,,
,އަލުން ބެލޭ ކަހަލަ ގޮތަކަށް,Review mode,,,
,ކޯސްފެށޭ ތާރީޚް,Available from,,,
,ޔޫސަރއެއް ހިޔާރުކުރުމަށް,Choose user...,,,
,ގްރޭޑް ކުރެވިފަ: {$a},Evaluated on,,,
,ގްރޭޑް އިނީ ބަންދުކުރެވިފަ,Grade is locked,,,
,ވަކިކުރާ,Separator,,,
,ދަރިވަރުން,Students,,,
,އިންޕޯޓު,Import,,,
,ފައިލް އިންޕޯރޓްކުރަން,CSV file,,,
,އެންމެ މަތި ގްރޭޑް,Take the highest grade,,,
,އައު ގްރޭޑް އައިޓަމް,Item: {$a},,,
,No course information to show.,No courses to analyse,,,
,މައްސަލަ,Error: {$a},,,
,އިންސައްތަ,Percentage,,,
,އަވަސް ގްރޭޑް,Quick grading,,,
,ސަރވޭ ރިޕޯޓް,Reports,,,
,ޕްރިފެރެންސްތައް ސޭވްކުރަމަށް,Save preferences,,,
,ދަރިވަރު,Student,,,
,ގްރޭޑްތައް އަޕްލޯޑުކުރުމަށް,Upload grades,,,
,އައިޓަމް {$a->gradeidnumber} ޔޫސަރު {$a->fullname} ({$a->useridnumber}),User grade,,,
,އާދެ,Yes,,,
,ނޭގޭ,Unknown,,,
,އެޑުމިނިސްޓްރޭޓަރުގެ ސަމާލުކަމަށް! ކްލޭމް އޭވީއިން {$a->course} އަށް {$a->user} އަޕްލޯޑްކުރި ފައިލެއްގައި ވައިރަސްއެއް އިންކަމަށް ދައްކައިފި. ކްލޭމް އޭވީގެ ރިޕޯޓް ތިރީގައި,You can only upload one of the following file types : {$a->types}.,,,
,ކްލޭމް އޭވީ އެއް ނުހުޅުވުނު. ލިބުނު އެރަރ މެސެޖަކީ {$a},"ClamAV has failed to run. The return error message was ""{$a}"". Here is the output from ClamAV:",,,
,ގުރޫޕުތައް,Groups,,,
,އެއްވެސް ގުރޫޕެއް ނެތް,No groups you can access.,,,
,މުޢާމަލާތު ކުރުމުގެ ތެރޭގައި ނޭގެ މައްސަލައެއް ދިމާވެއްޖެ.,The process has resulted in an error that requires a restart of the process.,,,
,އަދި މި ކޯހުގައި އެއްވެސް ގުރޫޕެއް ހެދިފައެއް ނެތް,There are no groups in this course. You must create some groups before using this tool.,,,
,ޗެކް,Check,,,
,ޑޭޓާ އެކްސެލް ސްޕެޑްޝީޓެއްގެ ގޮތުގައި ޑައުންލޯޑްކުރަން,Download data as Excel spreadsheet,,,
,ޑޭޓާ އައިދާގެ ޓެކްސްޓްގެ ގޮތަގައި ޑައުންލޯޑްކުރަން,Download data as a plain text file,,,
,ފައިލް ޑައުންލޯޑް ކުރުމަށް ތިރީގައިވާ ލިންކަށް ފިތާލާ,Click {$a} link to download the file.,,,
,މަޢުލޫމާތު,Info,,,
,ޕާސްވޯޑު ލިޔޭ,Enter password:,,,
,އިޚްތިޔާރިތައް,Multiple choice - single response,,,
,ފަށާފައި ވަނީ,Started,,,
,{$a->maxgrade} އަކުން {$a->grade},{$a->some} out of {$a->total},,,
,ޕާސްވޯޑް,Passcode,,,
,ޕަރާމީޓާތައް,Advanced,,,
,ބާކީ ވަޤުތު,Time remaining,,,
,ހޭދަވި ވަގުތު,Merge took {$a} seconds,,,
,ތަފްޞީލުތައް ބެލެހެއްޓުން,Details,,,
,ޑުޕްލިކޭޓު,Duplicate,,,
,އޮފްލައިން,Offline,,,
,އޮންލައިން,Online,,,
,ކުރު ނަން,Short name,,,
,ހާލަތު,Status,,,
,{$a} ފައިލު/ފަންކްޝަނެއް ނެތް.,The file/function {$a} does not exist.,,,
,ތަޢާރަފް,"This is a tool for generating custom CSS for the Moodle Mobile app, especially overriding the default colors. It will guide you through three simple steps:",,,
,ވެބް ޞަފްޙާއެއް ނުވަތަ އަޕްލޯޑްކުރެވިފަވާ ފައިލެއް ފްރޭމެއް ތެރޭ ދެއްކޭނަމަ، މި އަދަދަކީ މަތި ފްރޭމުގެ ސައިޒު (ޕިކްސެލް އިން).,"When a web page or an uploaded file is displayed within a frame, this value is the height (in pixels) of the top frame (which contains the navigation).",,,
,މީގެން އައު ރިސޯސެއް އިތުރުކުރާއިރު ފޯމްގައި ހިމެނޭ ޕަރަމީޓަރ ސެޓިންގތަކުގެ ޑިފޯލްޓް އަދަދުތަކެއް ހެދި އެ ސެޓްކުރެވޭނެ. ފުރަތަމަ ފަހަރުގެ ފަހުން، މިކަން ވާނީ ވަކިވަކި ޔޫސަރުންގެ ޕްރިފެރެންސަކަށް,"This sets the default value for the Parameter settings pane in the form when adding some new resources. After the first time, this becomes an individual user preference.",,,
,އައު ރިސޯސެއް އިތުރުކުރާއިރު (ޕޮޕްއަޕް ވިންޑޯގައި ބެހެއްޓޭ) ޑިފޯލްޓްކޮށް މި އޮޕްޝަން އެނޭބަލް ކުރަންވީތަ؟,"When adding a new resource which is able to be shown in a popup window, should this option be enabled by default?",,,
,އިންޒާރު,Warning,,,
,ޕޮޕްއަޕް ވިންޑޯތަކުގައި ޑިފޯލްޓްކޮށް ޑައިރެކްޓޮރީ ލިންކްތައް ދައްކަންވީތަ؟,Should popup windows show directory links by default?,,,
,އައު ޕޮޕްއަޕް ވިންޑޯތަކުގެ ޑިފޯލްޓް ދިގުމިނަކަށް ހަދަންވީ ކިހާވަރެއް؟,What height should be the default height for new popup windows?,,,
,ޑިފޯލްޓްކޮށް ޕޮޕްއަޕް ވިންޑޯ ތަކުގައި ލޮކޭޝަން ބާ ދައްކަންވީތަ؟,Should popup windows show the location bar by default?,,,
,ޑިފޯލްޓްކޮށް ޕޮޕްއަޕް ވިންޑޯ ތަކުގައި މެނު ބާ ދައްކަންވީތަ؟,Should popup windows show the menu bar by default?,,,
,ޑިފޯލްޓްކޮށް ޕޮޕްއަޕް ވިންޑޯ ރިސައިޒްކުރެވޭގޮތަށްތަ ބަހައްޓަންވީ؟,Should popup windows be resizable by default?,,,
,ޑިފޯލްޓްކޮށް ޕޮޕްއަޕް ވިންޑޯތައް ރިސައިޒް ކުރެވޭގޮތަށްތަ ބަހައްޓަންވީ؟,Should popup windows be scrollable by default?,,,
,ޑިފޯލްޓްކޮށް ޕޮޕްއަޕް ވިންޑޯ ތަކުގައި ސްޓެޓަސް ބާ ދައްކަންވީތަ؟,Should popup windows show the status bar by default?,,,
,ޑިފޯލްޓްކޮށް ޕޮޕްއަޕް ވިންޑޯ ތަކުގައި ޓޫލް ބާ ދައްކަންވީތަ؟,Should popup windows show the tool bar by default?,,,
,ހަރަކާތްތެރި,Active in form,,,
,އައު ޕޮޕްއަޕް ވިންޑޯތަކުގެ ޑިފޯލްޓް ފުޅާމިން ހަދަންވީ ކިހާވަރެއް؟,What width should be the default width for new popup windows?,,,
,ދެއްކުމުގެ އިޚުތިޔާރުތައް,Available display options,,,
,mod/file/mod,mod/file/mod,,,
,އެންކްރިޕްޓު ކޮށްފައިވާ ކޯޑު,Encrypted code,,,
,އައު ފަރާތް {$a} އިތުރުކުރެވިއްޖެ,Added {$a} new recipient,,,
,އައު ފަރާތްތައް {$a} އިތުރުކުރެވިއްޖެ,Added {$a} new recipients,,,
,ފޯސް ޑައުންލޯޑް,Force download,,,
,ފްރޭމުގެ ސައިޒު,Frame height,,,
,ހުރިހާ,ALL,,,
,ޑިޕާޓްމަންޓް,Department,,,
,ފީލްޑު,Field,,,
,ކިޔަވަދޭތަން,Institution,,,
,މި ސުވާލު ކުރިއަށް ގެންދާކަށް އެއްވެސް ވެބްގެ ޚިދުމަތަކާ މިވަގުތު ގުޅުމެއް ނެތް. އެޑުމިނިސްޓުރޭޓާއަށް އަންގާ.,There is currently no connection to a web service that can process this question. Please contact your administrator,,,
,ލިބޭނެކަން,Availability,,,
,އެނބުރި ބައިވެރިންގެ ލިސްޓަށް,Back to participants list,,,
,ޔުނިޓު,Unit,,,
,ޔަގީންކުރޭ,Confirm,,,
,ކޯހުގެ ބައިވެރިނަށް މެސެޖްކުރުމަށް,Message course users,,,
,ކޯހުގެ އަޕްޑޭޓްލިމިޓް,Course upload limit,,,
,މިހާރު ޚިޔާރު ކުރެވިފަހުރި ޔޫސަރުން,Currently selected users,,,
,ދުވަހާ,Days,,,
,{$a} ހަމަ އެއްކޮށް ފުހެލަންވީތޯ ޔަޤީންކޮށްލާ,"Are you absolutely sure you want to completely delete the user {$a}, including their enrolments, activity and other user data?",,,
,ލޮގްތައް ފުހެލަން,Delete attendance data,,,
,ޚިޔާރު ކުރެވިފަ ހުރި އެޓެމްޓްތައް ފުހެލާ,Delete selected files,,,
,މެނުއަލްކޮށް ގްރޭޑްކުރެން,Grading,,,
,ޔޫސަރ އެކައުންޓްތަކަށް ބަދަލުގެންނަން,Edit user account,,,
,ގްރޭޑެއް ނެތް,No grade,,,
,ފޯމެޓް,Format,,,
,ފޯރމެޓްކުރެވެނީ,Formatting,,,
,ން,From:,,,
,މުއްދަތު ހަމަވެފައިވާ,Overdue,,,
,އޯވަރައިޑުތައް,Overrides,,,
,ފުރިހަމަ ނަން,Licence full name,,,
,ކުރީގެ ޙާލަތު,Prev,,,
,އެހީ,Access documentation,,,
,ހިމަނާ,Include,,,
,ދާންވީ...,Jump to...,,,
,ހޯދަމުން ގެންދޭ,Keep searching,,,
,އެންމެފަހުން ބަދަލުކުރީ,last edited,,,
,ދެވިފައިވާ ވަގުތު,Time limit in seconds,,,
,ވާތަށް ބަދަލުކުރަންވީ,Move left,,,
,ކަނާތަށް ބަދަލުކުރަންވީ,Move right,,,
,ދެން ހުރި,Next,,,
,{$a} ބަސް,Words: {$a},,,
,އެޗްޓީއެމްއެލް ފޯމެޓް ޕްރިވިއު,HTML format preview,,,
,ހޮވާ,Select,,,
,ހުރިހާ އެއްޗެއް ނަގާ,Select all,,,
,ސައިޓު,Site,,,
,ސަބްމިޓް,Submit,,,
,ޙުލާސާ,Summary,,,
,ޓެގު,Tag,,,
,ވަޤުތު,Time,,,
,ރައްދުވާ ފަރާތް,to,,,
,އަޕްޑޭޓް,Update,,,
,ފައިލް އަޕްލޯޑްކުރަން,Upload a file,,,
,ދެއްކުންތައް,Views,,,
,ނުވަތަ ތިރީގައިވާ ފޯމް ބޭނުންކޮށްގެން ދަރިވަރުންނަށް މެސެޖްފޮނުވާ,or use the form below to send a message to the selected students,,,
,ޔޫސަރު ނަން,Username,,,
,ފެންނަގޮތަށް,Visible,,,
,ހަފްތާ,Week(s),,,
,ހައްލުތައް,Solutions,,,
,question/type/ordering,Wordselect_question_type,,,
,ތަފާތު,Diff,,,
,ނެޓުވޯކު އެޑުރެސް ބޭނުންވޭ,Require network address,,,
,ގުރޭޑު ނުކޮށް,Not graded,,,
,ހިނގި ވަގުތު,Duration,,,
,އަދަދު,Count,,,
,ފުޅާމިން,Width,,,
,ހަރަކާތްތަށް,Actions,,,
,އިޖާބަތަކުގެ ހިސްޓްރީ,History,,,
,އެންމެ ފަހުން ވަދެފައިވަނީ,Last,,,
,ގްރޫޕްތައް ދައްކާ,Show groups,,,
,ކޮމެންޓް އިތުރު ކުރުން,Add comment,,,
,ލިޔުން އަތުރަންވީ ގޮތް,Alignment,,,
,މި ޞަފުޙާއަށް ވަނުމުގެ ހުއްދައެއް ނެތް.,Access denied for user,,,
,ލިންކު,Link,,,
,ހުސްތަންކޮޅެއް އިތުރުކުރޭ,Indent,,,
,ހުސްތަންކޮޅެއް މަދުކުރޭ,Outdent,,,
,އެންމެ ފަހުން ކުރޮކަންތައް އަލުން ކުރޭ,Redo,,,
,ފަހުން ކުރި ކަންތައް ކެންސަލް ކުރޭ,Undo,,,
,އެޑްވާންސް ސެޓިންގްސ,Advanced settings,,,
,ކޮންޓްރޯލްތައް,Controls,,,
,އެންމެ މަތީ ސްކޯތަކުގެ ލިސްޓަށް ވަނަމެއް ދީ,Name,,,
,އުނި ކުރޭ,Confirm removal,,,
,ރިސަލްޓުގެ ޕްރައިވެސީ,Privacy,,,
,އަމިއްލަ ފޯމެޓު,Custom,,,
,އެހެން,Other,,,
,ކީތައް,Keys,,,
,ކުލިޕުބޯޑުން ޕޭސްޓު ކުރޭ,Paste,,,
,ލޭއައުޓް,Rubric layout,,,
,ހަރަކާތްތައް,Activities,,,
,ހަރަކާތް,Activity,,,
,އީމެއިލް އެޑްރެސް,Send Email,,,
,ފުރަތަމަ ނަން,First name,,,
,ފަހު ނަން,Last name,,,
,ޕްރޮގްރެސް ބާ,Show progress bar,,,
,ބައި,Section,,,
,ބައިތައް,Sections,,,
,ފަލަ,Apply font weight bold,,,
,ތިރި,Bottom,,,
,ބައި (ކެޓަގަރީ),Choose a category,,,
,ނަން,HTML Bootstrap Editor Settings,,,
,ހެދާ,Create,,,
,ފޮންޓު ސައިޒު,Font size,,,
,ސުރުޚީ,Heading,,,
,HTML ފޯމެޓު,HTML,,,
,އިޓަލިކް,Apply font style italic,,,
,ލިސްޓް,List,,,
,އެންމެ މަތީ ސްކޯރ,Max assets per request,,,
,އެންމެ ދަށް ސްކޯރ,Min,,,
,ނެވިގޭޝަން,Navigation,,,
,އައުޓްލައިން,Outline,,,
,ސިފަތައް,Properties,,,
,ލިންކު ފޮހެލާ,Remove link,,,
,ސްކްރީންޝޮޓް,Screenshot,,,
,ހުސްތަން ދިނުން,Spacing,,,
,ކަނޑާލުން,Strikethrough,,,
,ޓޭބަލް,Table,,,
,އާދައިގެ ވެބް ފޯމުތައް ބޭނުންކުރައްވާ,Text editor,,,
,މަތި,Top,,,
,ތިރީ ރޮނގު,Underline,,,
,ޕްރިސެޓްތައް,Presets,,,
,އައުފީޑެއް އިތުރުކުރޭ,Add new line,,,
,މިހާރު,Now,,,
,{$a} ފައިލް އަޕްލޯޑުކުރުމަގައި މައްސަލައެއް ދިމާވެއްޖެ. ފަހަރުގައި ފައިލްގެ ސައިޒު މާބޮޑީ ކަމުގައިވުން އެކަށީގެންވޭ,An unknown problem occurred while uploading the file \'{$a}\' (perhaps it was too large?),,,
,ޓޭބަލް ހަދާ,Create table:,,,
,ސަފުތައް,Rows,,,
,ކޮންމެހެން ކުރަން ނުޖެހޭ: އޮޓޯއިން ހެދޭ ކޯސްތަކަށް ކުރިން ހެދިފައިވާ ކޯހެއްގެ (ޓެމްޕުލޭޓު ކޯސް) ސެޓިންތައް ކޮޕީ ކުރެވިދާނެއެވެ. ޓެމްޕުލޭޓު ކޯހުގެ ކުރުނަން މިތާ ޖަހާށެވެ.,Template,,,
,އެހެނިހެން,MISCELLANEOUS ITEMS,,,
,ސުރުޚީ,Topic,,,
,މިހާރު ބޭނުންކުރެވެމުންދާ އޮތެންޓިކޭޝަން ޕްލަގިންތައް,Available authentication plugins,,,
,އެހެން ލޮގިންޔޫއާރްއެލްއެއް,Alternate MNET login url,,,
,ޕާސްވޯޑް ބަދަލުކުރަން އެހީއެއް,Change password help,,,
,ޕާސްވޯޑް ބަދަލުކުރަން ބޭނުންވާ ޔޫއާރްއެލް,Change password URL,,,
,{$a->oldemail}ން {$a->newemail}ށް އީމެއިލް އެޑްރެސް ބަދަލުކުރަން މިހާރު ރިކުއެސްޓްކުރެވިއްޖެ. މި ކަން ޔަޤީންކުރުމަށް އީމެއިލެއް ފޮނުވިފައިވާނެ، އީމެއިލް އެޑްރެސް ބަދަލުކުރުމަށް މި އީމެއިލްގައި ހިމެނޭ ލިންކަށް ޒިޔާރަތް ކޮށްލައްވާ,"You have requested a change of email address, from {$a->oldemail} to {$a->newemail}. For security reasons, we are sending you an email message at the new address to confirm that it belongs to you. Your email address will be updated as soon as you open the URL sent to you in that message. The confirmation link will expire in <b>10 minutes</b>",,,
,ޑޭޓާ މެޕިންގް,Data mapping,,,
,އަދަދު ބަންދުކޮށްލަން,Lock value,,,
,ޔޫސަރ ފީލްޑްތައް ބަންދުކޮށްލަން,Lock user fields,,,
,މައްސަލައެއް ދިމާވެއްޖެ. ފޮނުވި ލިންކް ކޮޕީކޮށްފަ ޕޭސްޓްކުރައްވާ,"Error: if you are trying to confirm a change of email address, you may have made a mistake in copying the URL we sent you by email. Please copy the address and try again.",,,
,ތިބާގެ އަޕްޑޭޓް ރިކުއެސްޓް ކެންސަލް ކުރެވިއްޖެ,You have run out of allowed attempts to update your email address. Your update request has been cancelled.,,,
,ޕާސްވޯޑްގެ މުއްދަތު ހަމަވެއްޖެ! ޕާސްވޯޑް އައުކުރައްވަން ބޭނުންފުޅުތޯ؟,Your password has expired. Do you want to change your password now?,,,
,{$a} ދުވަސް ތެރޭ ތިބާގެ ޕާސްވޯޑްގެ ދުވަސް ހަމަވާނެ! މިހާރު ޕާސްވޯޑް ބަދަލުކުރައްވަން ބޭނުންފުޅުތޯ؟,Your password will expire in {$a} days. Do you want to change your password now?,,,
,އިންޓަރނަލް އެއްކޮށް ފުހެލާ,Full delete internal,,,
,އިންޓަރނަލް ބެހެޓިއްޖެ,Keep internal,,,
,އިންޓަރނަލް ސަސްޕެންޑްކުރެވިއްޖެ,Suspend internal,,,
,އެކްސްޓް ޔޫސަރ ފުލެވިއްޖެ,Removed ext user,,,
,ކްރޮން ސިންކްރޮނައިޒޭޝަން ސްކްރިޕްޓް,User account synchronisation,,,
,އެތެރެ އަޕްޑޭޓްކުރޭ,Update local,,,
,ބޭރު އަޕްޑޭޓްކުރޭ,Update external,,,
,ޔޫސަރ ހެދޭގަތަށް ހަދާ,Enable user creation,,,
,އޮތެންޓިކޭޝާން އޮޕްޝަންތައް,Authentication options,,,
,ޕާސްވޯޑް ބަދަލުކުރަން,Change password,,,
,އޮތެންޓިކޭޓްކުރާނެ ގޮތެއް ޚިޔާރުކުރޭ,Choose an authentication method,,,
