bodyAR,bodyDV
وأقسام الشرك ثلاثة : شرك أكبر ، وشرك أصغر ، وشرك خفي .,ޝިރުކު ބެހިގެންވަނީ ތިން ބަޔަކަށެވެ: އެއީ ބޮޑު ޝިރުކާއި، ކުޑަ ޝިރުކާއި، ވަންހަނާވެގެންވާ ޝިރުކެވެ.
فالشرك الأكبر : يوجب حبوط العمل والخلود في النار لمن مات عليه ، كما قال الله تعالى :,ފަހެ ބޮޑު ޝިރުކަކީ: އޭގެ މަތީގައި ހުރެގެން މަރުވެއްޖެނަމަ އެކަމުގެ ސަބަބުން ޢަމަލުތައް ބާޠިލުވެ އަދި ތާއަބަދަށް ނަރަކައިގައި ދެމިއޮތުން ވާޖިބުވާކަމެކެވެ. އެއީ الله تعالى ވަޙީކުރައްވާފައިވާ ފަދައިންނެވެ:
﴿وَلَوۡ أَشۡرَكُواْ لَحَبِطَ عَنۡهُم مَّا كَانُواْ يَعۡمَلُونَ﴾,(އެބޭކަލުންވެސް (اللَّهއަށް) شريك ކުރެއްވި ނަމަ، އެ ބޭކަލުން ކޮށްއުޅުއްވި عملތައް باطلވީހެވެ.)
[ الأنعام : 88 ] ،,[އަލްއަންޢާމު: 88]
وقال سبحانه :,އަދި اللهُ سُبْحَانَهُ ވަޙީކުރެއްވިއެވެ:
﴿مَا كَانَ لِلۡمُشۡرِكِينَ أَن يَعۡمُرُواْ مَسَٰجِدَ ٱللَّهِ شَٰهِدِينَ عَلَىٰٓ أَنفُسِهِم بِٱلۡكُفۡرِۚ أُوْلَٰٓئِكَ حَبِطَتۡ أَعۡمَٰلُهُمۡ وَفِي ٱلنَّارِ هُمۡ خَٰلِدُونَ﴾,(އެއުރެންގެ އަމިއްލަ نفسތަކުގެ މައްޗަށް كافرކަމަށް ހެކިވެތިބި حالގައި، اللَّهގެ މިސްކިތްތައް ފަޅުފިލުވައި ބެލެހެއްޓުމަކީ، مشركންނަށް އޮތްކަމެއްނޫނެވެ. އެއުރެންނަކީ، އެއުރެންގެ عملތައް باطلވެފައިވާ މީހުންނެވެ. އަދި ހަމަ، އެއުރެންނީ، ނަރަކައިގައި ދެމިތިބޭނޭ ބަޔެކެވެ.)
[ التوبة : 17 ] ،,[އައްތައުބާ : 17 ]
وأن من مات عليه فلن يغفر له ، والجنة عليه حرام ، كما قال الله -عز وجل-:,އަދި ބޮޑު ޝިރުކުގެ މަތީގައި ހުރެގެން މަރުވެއްޖެ މީހެއްގެ ފާފަ ނުފުއްސެވޭނެއެވެ. އަދި އެ މީހެއްގެ މައްޗަށް ސުވަރުގެ ޙަރާމްވެގެންވެއެވެ. އެއީ الله عز وجل ވަޙީކުރައްވާފައިވާ ފަދައިންނެވެ:
﴿إِنَّ ٱللَّهَ لَا يَغۡفِرُ أَن يُشۡرَكَ بِهِۦ وَيَغۡفِرُ مَا دُونَ ذَٰلِكَ لِمَن يَشَآءُۚ﴾,(ހަމަކަށަވަރުން، اللَّه، އެކަލާނގެއަށް شريكކުރުމުގެ ފާފައެއް ނުފުއްސަވާނެތެވެ. އެނޫން ފާފަތައް، އެކަލާނގެ އިރާދަކުރައްވާ މީހަކަށް ފުއްސަވަތެވެ.)
[ النساء : 48 ] ،,[އައްނިސާއު: 48]
وقال سبحانه :,އަދިވެސް އެކަލާނގެ سُبْحَانَهُ ވަޙީކުރެއްވިއެވެ:
﴿إِنَّهُۥ مَن يُشۡرِكۡ بِٱللَّهِ فَقَدۡ حَرَّمَ ٱللَّهُ عَلَيۡهِ ٱلۡجَنَّةَ وَمَأۡوَىٰهُ ٱلنَّارُۖ وَمَا لِلظَّٰلِمِينَ مِنۡ أَنصَارٖ﴾,(ހަމަކަށަވަރުން اللَّهއަށް شريكކުރާ މީހާ (ދަންނާށެވެ!) ފަހެ، ހަމަކަށަވަރުން، اللَّه، އެ މީހާގެ މައްޗަށް ސުވަރުގެ حرام ކުރެއްވިއެވެ. އަދި އެ މީހަކު އުޅޭނެތަނަކީ ނަރަކައެވެ. އަދި އަނިޔާވެރިންނަށް (އެބަހީ: شريكކުޅަ މީހުންނަށް) نصرދޭނޭ އެއްވެސް ބަޔަކު ނުވެއެވެ.)
[ المائدة : 72 ] .,[އަލްމާއިދާ : 72 ]
ومن أنواعه : دعاء الأموات ، والأصنام ، والاستغاثة بهم ، والنذر لهم ، والذبح لهم ، ونحو ذلك .,"އަދި އޭގެ( ބޮޑު ޝިރުކުގެ) ވައްތަރުތަކުގެ ތެރޭގައި:
 މައްޔިތުންނާއި ބުދުތަކަށް ކަންކަމަށް އެދި ދުޢާކުރުމާއި، އެ ތަކެތީގެ ކިބައިން މަދަދަށް އެދުމާއި، އެ ތަކެއްޗަށް ނަދުރު ބުނުމާއި، އެތަކެއްޗަށް ކަތިލުމާއި، އަދިވެސް އެފަދަ ކަންކަން ހިމެނެއެވެ."
الشرك الأصغر : فهو ما ثبت بالنصوص من الكتاب أو السنة تسميته شركًا ، ولكنه ليس من جنس الشرك الأكبر ؛ كالرياء في بعض الأعمال ، والحلف بغير الله ، وقول : ما شاء الله وشاء فلان ، ونحو ذلك ؛ لقول النبي -صلى الله عليه وسلم-:,ކުޑަ ޝިރުކަކީ: އެއީ ޤުރުއާނުގެ ނައްޞުން ނުވަތަ ސުންނަތުން އެއީ ޝިރުކެއްކަމަށް ނަންދެވުން ޘާބިތުވެފައި، ނަމަވެސް ބޮޑު ޝިރުކުގެ ޖިންސުގެ ތެރެއިން ހިމެނިގެންނުވާ ކަންކަމެވެ. މިސާލަކަށް: ބައެއް ޢަމަލުތަކުގައި ކަންދެއްކުމެވެ. އަދި ﷲ ނޫން ފަރާތެއް ގަންދީ ހުވާކުރުމެވެ. އަދި މިވެނިކަމެއްވީ ﷲ ގެ އިރާދައާއި އަދި މިވެނި މީހަކު އެދުނު ގޮތަށް ކަމަށް ބުނުމެވެ. އަދިވެސް އެފަދަ ޖުމުލަތަކެވެ. އެއީ ނަބިއްޔާ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَގެ އަންނަނިވި ބަސްފުޅަށްޓަކައިއެވެ:
"""أخوف ما أخاف عليكم الشرك الأصغر"" فسئل عنه ، فقال : ""الرياء"" [2]","""ތިމަންކަލޭގެފާނު ތިޔަބައިމީހުންގެ މައްޗަށް އެންމެ ބޮޑަށް ބިރުހީވާ ކަމަކީ ކުޑަ ޝިރުކެވެ."" ދެން އެއީ ކޮންކަމެއްތޯ ސުވާލުދެންނެވުނެވެ. އެހިނދު ޙަދީޘްކުރެއްވިއެވެ: ""އެއީ ކަންދެއްކުމެވެ."" [2]"
